Element,Wavelength_A
Ca II,4716.743
Ca II,4721.022
Ca II,4721.022
Ca II,4799.973
Ca II,4799.973
Ca II,4799.973
Ca II,5001.479
Ca II,5019.971
Ca II,5021.138
Ca II,5096.248
Ca II,5096.713
Ca II,5150.66
Ca II,5160.452
Ca II,5160.452
Ca II,5222.666
Ca II,5232.734
Ca II,5238.586
Ca II,5240.109
Ca II,5285.2660000000005
Ca II,5307.224
Ca II,5314.085
Ca II,5324.509
Ca II,5324.509
Ca II,5339.188
Ca II,5339.188
Ca II,5339.188
Ca II,5370.295999999999
Ca II,5372.807000000001
Ca II,5372.807000000001
Ca II,5433.839
Ca II,5444.739
Ca II,5444.739
Ca II,5593.1410000000005
Ca II,5604.688999999999
Ca II,5604.688999999999
Ca II,5687.426
Ca II,5690.241999999999
Ca II,5690.241999999999
Ca II,5748.374
Ca II,5751.036
Ca II,5816.711
Ca II,5829.2029999999995
Ca II,5867.1939999999995
Ca II,5869.106000000001
Ca II,5870.191
Ca II,5922.705
Ca II,6144.959
Ca II,6158.567000000001
Ca II,6158.901
Ca II,6199.804
Ca II,6203.151
Ca II,6203.151
Ca II,6303.383
Ca II,6303.383
Ca II,6456.875
Ca II,6456.875
Ca II,6456.875
Ca II,6514.221
Ca II,6517.64
Ca II,6517.916
Ca II,6549.892
Ca II,6549.892
Ca II,6663.489
Ca II,6679.352
Ca II,6679.887
Ca II,6726.065
Ca II,6731.65
Ca II,6732.779
Ca II,6732.779
Ca II,6787.357
Ca II,6804.371
Ca II,6979.067999999999
Ca II,6979.067999999999
Ca II,7138.4259999999995
Ca II,7142.862999999999
Ca II,7142.862999999999
Ca II,7575.807
Ca II,7575.807
Ca II,7575.807
Ca II,7581.133
Ca II,7589.035
Ca II,7589.035
Ca II,7601.331
Ca II,7798.884
Ca II,7804.181
Ca II,7806.393
Ca II,7859.22
Ca II,7859.763000000001
Ca II,8017.523999999999
Ca II,8020.502
Ca II,8064.179
Ca II,8077.379
Ca II,8077.379
Ca II,8133.097
Ca II,8133.097
Ca II,8133.097
Ca II,8201.722
Ca II,8217.282
Ca II,8217.282
Ca II,8217.282
Ca II,8242.09
Ca II,8248.796
Ca II,8254.721
Ca II,8255.88
Ca II,8255.88
Ca II,8472.098
Ca II,8486.669
Ca II,8486.669
Ca II,8498.023
Ca II,8542.091
Ca II,8662.141
Ca II,8727.613
Ca II,8727.613
Ca II,8728.528
Ca II,8780.605
Ca II,8796.258
Ca II,8796.258
Ca II,8912.068000000001
Ca II,8927.356
Ca II,8927.356
Ca II,9204.212
Ca II,9213.934000000001
Ca II,9213.934000000001
Ca II,9213.934000000001
Ca II,9221.413
Ca II,9221.413
Ca II,9222.536
Ca II,9239.805
Ca II,9312.030999999999
Ca II,9319.583
Ca II,9319.583
Ca II,9320.652
Ca II,9320.652
Ca II,9320.652
Ca II,9358.458
Ca II,9358.458
Ca II,9567.917
Ca II,9579.202000000001
Ca II,9579.202000000001
Ca II,9599.217
Ca II,9601.761
Ca II,9693.7
Ca II,9698.919
Ca II,9825.692000000001
Ca II,9831.287
Ca II,9831.287
Ca II,9845.297
Ca II,9845.297
Ca II,9854.759
Ca II,9890.628
Ca II,9890.628
Ca II,9890.628
Ca II,9931.374
Fe II,2000.38
